date,Danville,Galax,Henry,Petersburg,Sussex
17-03-2020,0,0,0,0,0
18-03-2020,0,0,0,0,0
19-03-2020,0,0,0,0,0
20-03-2020,0,0,0,0,0
21-03-2020,0,0,0,0,0
22-03-2020,0,0,0,0,0
23-03-2020,1,0,0,0,0
24-03-2020,1,0,0,0,0
25-03-2020,2,0,0,0,0
26-03-2020,2,0,0,0,0
27-03-2020,4,1,0,0,0
28-03-2020,4,1,0,0,0
29-03-2020,4,1,0,0,0
30-03-2020,4,1,1,2,0
31-03-2020,4,1,1,2,0
13-04-2020,21,1,8,19,8
14-04-2020,22,1,8,19,8
15-04-2020,22,1,8,19,10
16-04-2020,22,1,8,19,9
17-04-2020,22,1,10,21,11
18-04-2020,24,1,10,21,11
19-04-2020,27,1,10,21,11
20-04-2020,28,1,10,21,12
21-04-2020,29,1,10,24,23
22-04-2020,29,1,10,24,23
23-04-2020,31,1,10,27,25
24-04-2020,31,1,12,27,28
25-04-2020,32,1,13,27,28
26-04-2020,33,4,14,27,28
27-04-2020,33,3,15,30,30
28-04-2020,33,4,16,30,30
29-04-2020,34,4,16,31,30
30-04-2020,35,4,16,31,31
13-05-2020,41,64,28,53,38
14-05-2020,43,65,28,57,53
15-05-2020,43,66,30,58,67
16-05-2020,44,77,34,58,80
17-05-2020,44,80,36,58,80
18-05-2020,44,82,43,60,91
19-05-2020,44,82,46,75,98
20-05-2020,45,82,50,80,99
21-05-2020,45,82,53,84,100
22-05-2020,46,85,59,84,100
23-05-2020,46,87,63,87,114
24-05-2020,46,88,67,86,114
25-05-2020,48,95,77,88,114
26-05-2020,48,104,84,96,135
27-05-2020,48,106,92,101,138
28-05-2020,50,107,95,112,142
29-05-2020,51,107,99,118,151
30-05-2020,51,112,104,127,154
31-05-2020,55,123,113,134,154
13-06-2020,63,193,198,180,178
14-06-2020,65,204,199,185,181
15-06-2020,66,205,202,191,183
16-06-2020,66,206,210,192,183
17-06-2020,66,208,212,194,184
18-06-2020,68,211,214,196,185
19-06-2020,68,217,224,197,185
20-06-2020,72,222,227,198,185
21-06-2020,73,223,226,198,185
22-06-2020,73,224,227,199,186
23-06-2020,72,227,228,201,187
24-06-2020,73,233,230,211,191
25-06-2020,73,238,232,212,193
26-06-2020,77,243,237,219,194
27-06-2020,79,244,243,221,195
28-06-2020,80,252,249,221,195
29-06-2020,82,253,250,226,195
30-06-2020,86,253,260,234,194
13-07-2020,138,289,350,335,214
14-07-2020,138,290,363,338,216
15-07-2020,148,292,381,348,219
16-07-2020,151,296,387,352,227
17-07-2020,157,296,391,353,229
18-07-2020,169,299,393,359,233
19-07-2020,188,300,393,369,234
20-07-2020,196,304,393,370,235
21-07-2020,196,305,410,371,236
22-07-2020,214,305,413,374,238
23-07-2020,229,306,422,380,245
24-07-2020,233,312,424,385,253
25-07-2020,241,317,429,390,256
26-07-2020,247,322,434,391,259
27-07-2020,269,326,434,404,264
28-07-2020,269,326,458,408,270
29-07-2020,278,327,461,411,271
30-07-2020,291,329,467,426,276
31-07-2020,300,331,477,442,276
13-08-2020,430,352,644,531,313
14-08-2020,441,353,660,531,315
15-08-2020,451,353,672,537,316
16-08-2020,465,353,672,541,316
17-08-2020,477,354,672,544,317
18-08-2020,487,356,692,546,318
19-08-2020,496,388,699,552,318
20-08-2020,506,388,717,564,319
21-08-2020,522,388,723,575,319
22-08-2020,535,390,741,576,322
23-08-2020,542,390,747,582,324
24-08-2020,544,394,750,587,324
25-08-2020,550,394,763,588,324
26-08-2020,558,394,778,604,326
27-08-2020,575,394,803,611,330
28-08-2020,582,394,809,614,334
29-08-2020,595,396,835,621,335
30-08-2020,604,396,844,627,337
31-08-2020,606,396,844,631,339
13-09-2020,745,405,953,684,367
14-09-2020,756,406,957,691,374
15-09-2020,767,406,963,691,374
16-09-2020,783,406,971,695,375
17-09-2020,796,406,983,699,376
18-09-2020,812,407,991,710,379
19-09-2020,811,407,996,717,388
20-09-2020,824,407,1006,718,389
21-09-2020,831,408,1007,721,404
22-09-2020,838,411,1023,723,416
23-09-2020,843,413,1025,726,419
24-09-2020,854,413,1035,732,461
25-09-2020,860,413,1042,734,462
26-09-2020,868,415,1046,734,463
27-09-2020,875,418,1065,740,465
28-09-2020,880,418,1065,745,466
29-09-2020,885,418,1070,745,509
30-09-2020,903,419,1075,747,516
13-10-2020,1065,427,1194,828,633
14-10-2020,1070,427,1207,829,634
15-10-2020,1090,427,1220,838,634
16-10-2020,1094,427,1230,840,636
17-10-2020,1113,430,1237,859,638
18-10-2020,1123,431,1246,867,640
19-10-2020,1126,431,1248,877,649
20-10-2020,1130,433,1250,885,636
21-10-2020,1141,434,1259,889,635
22-10-2020,1157,436,1268,899,639
23-10-2020,1161,436,1276,905,639
24-10-2020,1167,439,1283,912,640
25-10-2020,1169,440,1293,912,640
26-10-2020,1173,443,1307,918,640
27-10-2020,1184,444,1320,926,639
28-10-2020,1201,448,1326,925,639
29-10-2020,1215,453,1336,936,638
30-10-2020,1229,455,1365,948,641
31-10-2020,1246,460,1384,955,643
13-11-2020,1401,492,1559,1017,652
14-11-2020,1409,500,1584,1022,654
15-11-2020,1413,501,1597,1022,654
16-11-2020,1438,505,1605,1028,656
17-11-2020,1453,506,1621,1020,656
18-11-2020,1461,509,1637,1023,657
19-11-2020,1469,513,1652,1029,658
20-11-2020,1492,518,1688,1031,658
21-11-2020,1506,524,1712,1037,659
22-11-2020,1507,528,1728,1046,661
23-11-2020,1536,533,1744,1079,663
24-11-2020,1548,537,1766,1079,664
25-11-2020,1578,541,1796,1094,665
26-11-2020,1585,545,1820,1101,667
27-11-2020,1597,546,1873,1101,667
28-11-2020,1601,568,1879,1102,667
29-11-2020,1624,568,1903,1109,668
30-11-2020,1632,572,1916,1123,669
13-12-2020,1966,667,2183,1215,655
14-12-2020,1966,682,2193,1231,655
15-12-2020,1985,687,2213,1239,659
16-12-2020,2021,690,2241,1242,667
17-12-2020,2041,706,2259,1249,672
18-12-2020,2075,709,2283,1255,667
19-12-2020,2090,719,2317,1262,668
20-12-2020,2110,731,2337,1274,670
21-12-2020,2127,740,2364,1284,679
22-12-2020,2143,750,2393,1291,680
23-12-2020,2184,756,2422,1292,680
24-12-2020,2237,772,2452,1305,680
25-12-2020,2258,774,2465,1306,680
26-12-2020,2271,774,2490,1312,682
27-12-2020,2271,792,2495,1333,689
28-12-2020,2286,799,2514,1354,690
29-12-2020,2299,803,2552,1366,700
30-12-2020,2310,806,2582,1374,706
31-12-2020,2322,831,2637,1444,713
13-01-2021,2930,900,3176,1757,763
14-01-2021,2975,910,3211,1781,770
15-01-2021,3013,916,3235,1811,778
16-01-2021,3045,920,3285,1869,795
17-01-2021,3147,919,3330,2049,819
18-01-2021,3155,923,3365,2125,829
19-01-2021,3167,932,3391,2171,863
20-01-2021,3181,935,3419,2196,865
21-01-2021,3209,945,3458,2211,867
22-01-2021,3224,943,3484,2253,876
23-01-2021,3273,942,3514,2300,890
24-01-2021,3346,946,3538,2336,891
25-01-2021,3400,950,3555,2392,915
26-01-2021,3412,947,3578,2432,928
27-01-2021,3483,951,3632,2469,941
28-01-2021,3537,953,3684,2525,982
29-01-2021,3590,955,3699,2572,988
30-01-2021,3622,954,3724,2613,992
31-01-2021,3655,955,3747,2634,996
13-02-2021,4071,976,4033,2871,1023
14-02-2021,4091,978,4038,2891,1025
15-02-2021,4100,979,4039,2904,1025
16-02-2021,4112,978,4070,2912,1028
17-02-2021,4142,981,4085,2912,1029
18-02-2021,4155,980,4095,2932,1030
19-02-2021,4168,982,4099,2961,1035
20-02-2021,4186,982,4111,2984,1038
21-02-2021,4218,983,4115,3022,1039
22-02-2021,4233,985,4118,3038,1041
23-02-2021,4240,984,4140,3056,1046
24-02-2021,4246,991,4145,3068,1055
25-02-2021,4262,991,4165,3108,1056
26-02-2021,4274,994,4170,3114,1059
27-02-2021,4277,995,4189,3136,1067
28-02-2021,4317,995,4195,3150,1067
13-03-2021,4250,1008,4263,3335,1104
14-03-2021,4253,1008,4268,3345,1106
15-03-2021,4254,1011,4269,3355,1108
16-03-2021,4199,1012,4277,3388,1111
17-03-2021,4151,1011,4280,3384,1112
18-03-2021,4124,1010,4286,3400,1116
19-03-2021,4119,1010,4299,3399,1116
20-03-2021,4129,1013,4305,3413,1119
21-03-2021,4132,1011,4306,3420,1120
22-03-2021,4136,1011,4309,3427,1123
23-03-2021,4135,1013,4318,3440,1125
24-03-2021,4141,1011,4329,3448,1128
25-03-2021,4159,1014,4333,3451,1128
26-03-2021,4160,1016,4349,3468,1131
27-03-2021,4172,1017,4365,3485,1132
28-03-2021,4176,1025,4373,3487,1133
29-03-2021,4175,1032,4373,3492,1133
30-03-2021,4176,1032,4379,3505,1133
31-03-2021,4179,1034,4387,3509,1135
13-04-2021,4240,1100,4439,3637,1152
14-04-2021,4233,1105,4440,3650,1153
15-04-2021,4242,1111,4444,3657,1156
16-04-2021,4246,1117,4447,3665,1157
17-04-2021,4251,1122,4452,3689,1159
18-04-2021,4258,1120,4456,3694,1161
19-04-2021,4267,1123,4461,3703,1163
20-04-2021,4268,1124,4462,3709,1165
21-04-2021,4272,1123,4463,3717,1169
22-04-2021,4284,1126,4464,3738,1171
23-04-2021,4293,1131,4469,3742,1171
24-04-2021,4299,1134,4471,3751,1171
25-04-2021,4307,1135,4472,3753,1172
26-04-2021,4310,1143,4473,3759,1174
27-04-2021,4321,1147,4474,3772,1175
28-04-2021,4327,1148,4485,3776,1177
29-04-2021,4332,1155,4490,3786,1178
30-04-2021,4348,1152,4493,3792,1180
13-05-2021,4402,1165,4579,3862,1188
14-05-2021,4408,1165,4588,3867,1192
15-05-2021,4410,1165,4595,3872,1192
16-05-2021,4413,1165,4595,3874,1192
17-05-2021,4416,1165,4597,3876,1192
18-05-2021,4419,1167,4600,3879,1191
19-05-2021,4426,1167,4604,3881,1192
20-05-2021,4427,1168,4613,3887,1193
21-05-2021,4430,1168,4614,3884,1192
22-05-2021,4440,1169,4619,3889,1195
23-05-2021,4440,1169,4621,3891,1195
24-05-2021,4442,1169,4622,3889,1195
25-05-2021,4441,1170,4633,3895,1195
26-05-2021,4447,1169,4637,3900,1195
27-05-2021,4453,1171,4643,3901,1195
28-05-2021,4457,1173,4646,3911,1196
29-05-2021,4463,1174,4648,3910,1197
30-05-2021,4465,1174,4649,3911,1197
31-05-2021,4469,1174,4649,3913,1198
13-06-2021,4490,1170,4671,3934,1201
14-06-2021,4490,1170,4671,3934,1201
15-06-2021,4491,1170,4666,3936,1201
16-06-2021,4495,1172,4665,3937,1201
17-06-2021,4496,1172,4666,3939,1201
18-06-2021,4497,1172,4666,3937,1201
19-06-2021,4497,1173,4665,3933,1200
20-06-2021,4496,1173,4666,3931,1200
21-06-2021,4496,1173,4668,3931,1200
22-06-2021,4493,1173,4668,3930,1199
23-06-2021,4493,1173,4670,3931,1199
24-06-2021,4493,1173,4671,3932,1202
25-06-2021,4493,1173,4672,3944,1202
26-06-2021,4493,1175,4673,3957,1203
27-06-2021,4494,1174,4673,3964,1204
28-06-2021,4493,1175,4673,3955,1203
29-06-2021,4497,1174,4673,3952,1203
