COUNTY,THEME1,THEME2,THEME3,THEME4,THEMES
Galax City,0.947,1,0.7652,0.9545,1
Petersburg City,0.9621,0.9394,0.9318,0.9394,0.9924
Danville City,0.9242,0.9773,0.7803,0.9621,0.9848
Emporia City,1,0.9015,0.6591,0.9242,0.9773
Hopewell City,0.9167,0.9697,0.9091,0.7121,0.9697
Sussex,0.9545,0.6061,0.7955,0.8788,0.9621
Henry,0.9394,0.8788,0.5985,0.8106,0.9545
Nottoway,0.7273,0.8409,0.8106,0.9848,0.947
Norton City,0.9773,0.9848,0.0455,0.8712,0.9394
Martinsville City,0.9015,0.9924,0.6818,0.5758,0.9318
Brunswick,0.9318,0.8182,0.7121,0.7121,0.9242
Newport News City,0.5606,0.8182,0.9242,0.9924,0.9167
Lunenburg,0.8258,0.7803,0.5682,0.947,0.9091
Wise,0.9697,0.8561,0.1061,0.9167,0.9015
Roanoke City,0.7727,0.7727,0.8712,0.7879,0.8939
Greensville,0.9091,0.1894,0.5985,0.9773,0.8864
Accomack,0.7121,0.7576,0.9015,0.7727,0.8788
Portsmouth City,0.7424,0.7955,0.803,0.7576,0.8712
Norfolk City,0.7045,0.3106,0.8939,0.9697,0.8561
Richmond City,0.75,0.1818,0.9773,0.9091,0.8561
Mecklenburg,0.7348,0.9318,0.4848,0.7273,0.8485
Lee,0.9848,0.6591,0.1288,0.75,0.8409
Harrisonburg City,0.7803,0.0682,0.8636,1,0.8333
Buckingham,0.8939,0.6439,0.447,0.7348,0.8258
Hampton City,0.5303,0.6894,0.8561,0.8409,0.8182
Lynchburg City,0.7197,0.2273,0.7197,0.9015,0.8106
Smyth,0.7955,0.9091, ,0.8333,0.803
Bristol City,0.8182,0.9621,0.1667,0.6136,0.7955
Halifax,0.6591,0.8788,0.5985,0.6515,0.7879
Winchester City,0.4545,0.7424,0.8409,0.803,0.7803
Buchanan,0.9924,0.6742,0.0606,0.6742,0.7727
Northampton,0.5909,0.803,0.8864,0.6212,0.7652
Charlotte,0.8636,0.9545,0.3106,0.4242,0.7576
Franklin City,0.8409,0.9242,0.5227,0.3106,0.75
Pittsylvania,0.7576,0.7652,0.5379,0.5833,0.7424
Prince Edward,0.7879,0.1136,0.8409,0.7803,0.7348
Scott,0.8333,0.6515,0.1667,0.8485,0.7273
Dickenson,0.8712,0.8106,0.0076,0.7424,0.7197
Patrick,0.8106,0.697,0.3864,0.6364,0.7121
Essex,0.6288,0.8333,0.7197,0.5076,0.7045
Grayson,0.8788,0.5833,0.2955,0.5606,0.697
Cumberland,0.8561,0.8636,0.4091,0.2727,0.6894
Fredericksburg City,0.3409,0.25,0.9091,0.8864,0.6818
Waynesboro City,0.5455,0.8712,0.6364,0.5076,0.6742
Richmond,0.5303,0.0758,0.8258,0.9318,0.6667
Colonial Heights City,0.5455,0.947,0.697,0.1894,0.6591
Tazewell,0.8485,0.6136,0.0758,0.6894,0.6515
Manassas Park City,0.5985,0.4697,1,0.3258,0.6439
Culpeper,0.3788,0.5,0.7727,0.697,0.6364
Amherst,0.697,0.4167,0.4773,0.5682,0.6288
Orange,0.3182,0.8939,0.6288,0.4924,0.6212
Dinwiddie,0.6742,0.5076,0.6894,0.3106,0.6136
Manassas City,0.4242,0.2652,0.9924,0.4394,0.6061
Southampton,0.4924,0.7121,0.3561,0.6288,0.5985
Page,0.803,0.75,0.1136,0.2879,0.5909
Covington City,0.5758,0.7879,0.1439,0.6061,0.5833
Shenandoah,0.4091,0.7197,0.5379,0.4773,0.5758
Pulaski,0.6061,0.6136,0.2803,0.5379,0.5682
Staunton City,0.2879,0.6818,0.5227,0.6515,0.5606
Alleghany,0.6667,0.7045,0.0833,0.5,0.553
Wythe,0.6742,0.7348,0.0379,0.4697,0.5455
Franklin,0.5076,0.5758,0.3561,0.5909,0.5379
Charlottesville City,0.3636,0.0379,0.8182,0.8939,0.5303
Russell,0.8864,0.5455,0.0152,0.25,0.5227
Suffolk City,0.3939,0.6364,0.6591,0.4545,0.5152
Louisa,0.5227,0.5455,0.5379,0.3333,0.5076
Caroline,0.3485,0.5682,0.4924,0.5985,0.5
Prince George,0.4394,0.3106,0.5909,0.5455,0.4924
Isle of Wight,0.4242,0.6288,0.5833,0.4091,0.4848
Carroll,0.6136,0.7273,0.3409,0.2121,0.4773
Appomattox,0.4773,0.8485,0.3333,0.2576,0.4697
Surry,0.6212,0.4621,0.4318,0.3712,0.4621
King and Queen,0.6364,0.4924,0.6439,0.1515,0.4545
Williamsburg City,0.5606,0.053,0.4242,0.8106,0.447
Radford City,0.7652,0.0076,0.2576,0.8561,0.4394
Amelia,0.3864,0.5227,0.5152,0.4621,0.4242
Bland,0.4621,0.4697,0.0303,0.7955,0.4242
Washington,0.6515,0.6591,0.053,0.4318,0.4167
Rockingham,0.3333,0.3561,0.5076,0.553,0.4091
Westmoreland,0.5152,0.2879,0.7197,0.1288,0.4015
Giles,0.4167,0.9167,0.1591,0.1818,0.3939
Prince William,0.2197,0.2424,0.9848,0.4015,0.3864
Henrico,0.25,0.4394,0.947,0.2803,0.3788
Warren,0.4621,0.5303,0.3485,0.3485,0.3712
Chesapeake City,0.2424,0.5152,0.7576,0.3939,0.3636
Nelson,0.303,0.5985,0.3106,0.5303,0.3485
Salem City,0.2879,0.2803,0.3712,0.6667,0.3485
Campbell,0.3636,0.5909,0.4394,0.2955,0.3409
Montgomery,0.447,0.0152,0.4545,0.8636,0.3333
Buena Vista City,0.6742,0.1894,0.0682,0.3561,0.3258
Spotsylvania,0.2348,0.3939,0.75,0.2652,0.3182
Charles City,0.5,0.2197,0.5,0.1288,0.3106
Fairfax City,0.0985,0.0606,0.9545,0.7045,0.303
Lexington City,0.6439,0.0303,0.1364,0.6439,0.2955
Fairfax,0.0758,0.1212,0.9697,0.5227,0.2879
Virginia Beach City,0.1439,0.3788,0.7424,0.3333,0.2803
Bath,0.5833,0.1288,0.0985,0.3864,0.2727
Frederick,0.1894,0.3485,0.5606,0.4394,0.2652
Chesterfield,0.1742,0.4545,0.8333,0.1591,0.2576
Alexandria City,0.0909,0.0227,0.9621,0.7576,0.25
York,0.1591,0.5455,0.7045,0.197,0.2424
Madison,0.3258,0.25,0.2879,0.303,0.2348
Middlesex,0.3106,0.2727,0.197,0.4167,0.2273
Albemarle,0.0985,0.0985,0.6742,0.6818,0.2197
Greene,0.2803,0.3561,0.4091,0.2121,0.2121
James City,0.053,0.5379,0.6212,0.2348,0.2045
Lancaster,0.197,0.4091,0.4621,0.2273,0.197
Rockbridge,0.4848,0.2045,0.1439,0.1212,0.1894
