COUNTY,THEME1,THEME2,THEME3,THEME4,THEMES
Galax City,0.947,1,0.7652,0.9545,1
Petersburg City,0.9621,0.9394,0.9318,0.9394,0.9924
Danville City,0.9242,0.9773,0.7803,0.9621,0.9848
Sussex,0.9545,0.6061,0.7955,0.8788,0.9621
Henry,0.9394,0.8788,0.5985,0.8106,0.9545
Nottoway,0.7273,0.8409,0.8106,0.9848,0.947
Norton City,0.9773,0.9848,0.0455,0.8712,0.9394
Martinsville City,0.9015,0.9924,0.6818,0.5758,0.9318
Emporia City,1,0.9015,0.6591,0.9242,0.9773
Brunswick,0.9318,0.8182,0.7121,0.7121,0.9242
Newport News City,0.5606,0.8182,0.9242,0.9924,0.9167
Lunenburg,0.8258,0.7803,0.5682,0.947,0.9091
Wise,0.9697,0.8561,0.1061,0.9167,0.9015
Roanoke City,0.7727,0.7727,0.8712,0.7879,0.8939
Hopewell City,0.9167,0.9697,0.9091,0.7121,0.9697
