date,Danville,Galax,Henry,Petersburg,Sussex
19-03-2020,0,0,0,0,0
20-03-2020,1,0,0,1,0
21-03-2020,0,0,0,0,0
22-03-2020,0,0,0,1,0
23-03-2020,0,0,0,1,0
24-03-2020,2,1,0,0,1
25-03-2020,1,0,0,0,3
26-03-2020,2,1,0,2,0
27-03-2020,1,1,0,0,5
28-03-2020,0,1,0,0,4
29-03-2020,0,2,1,1,4
30-03-2020,1,1,0,1,4
31-03-2020,1,2,1,1,7
01-04-2020,4,1,0,4,6
02-04-2020,2,2,2,2,5
03-04-2020,4,1,0,2,9
04-04-2020,0,7,0,0,9
05-04-2020,1,1,1,1,9
06-04-2020,1,4,1,7,3
07-04-2020,3,5,1,2,8
08-04-2020,3,9,1,2,6
09-04-2020,4,5,1,7,5
10-04-2020,1,3,3,5,8
11-04-2020,0,3,0,6,14
12-04-2020,2,3,0,4,9
13-04-2020,1,2,0,1,10
14-04-2020,1,0,1,3,8
15-04-2020,1,1,0,7,19
16-04-2020,3,2,2,3,7
17-04-2020,2,3,0,7,10
18-04-2020,1,1,2,4,6
19-04-2020,0,1,0,1,12
20-04-2020,2,1,0,3,5
21-04-2020,1,1,1,3,3
22-04-2020,6,3,3,16,16
23-04-2020,2,0,2,4,17
24-04-2020,1,3,5,10,15
25-04-2020,2,4,2,8,11
26-04-2020,1,9,4,38,14
27-04-2020,1,2,4,88,10
28-04-2020,4,7,0,24,11
29-04-2020,4,6,0,20,28
30-04-2020,3,9,2,6,20
01-05-2020,2,21,5,55,44
02-05-2020,0,7,1,14,17
03-05-2020,1,3,0,6,17
04-05-2020,2,3,0,3,6
05-05-2020,1,8,6,4,15
06-05-2020,1,28,1,3,25
07-05-2020,0,10,2,7,29
08-05-2020,1,21,2,5,22
09-05-2020,2,9,4,10,12
10-05-2020,1,7,3,4,11
11-05-2020,2,4,1,1,10
12-05-2020,0,4,2,42,18
13-05-2020,3,7,5,31,21
14-05-2020,3,31,4,10,26
15-05-2020,2,5,10,16,12
16-05-2020,1,4,13,42,16
17-05-2020,4,2,11,14,24
18-05-2020,1,4,3,2,13
19-05-2020,0,12,12,9,49
20-05-2020,4,22,24,50,22
21-05-2020,5,48,5,18,13
22-05-2020,1,20,23,16,43
23-05-2020,0,17,7,10,66
24-05-2020,1,10,6,14,22
25-05-2020,1,1,5,10,16
26-05-2020,3,6,4,7,45
27-05-2020,4,8,6,14,9
28-05-2020,2,73,12,34,59
29-05-2020,5,26,9,34,34
30-05-2020,1,5,4,72,20
31-05-2020,2,14,13,13,16
01-06-2020,0,24,24,2,12
02-06-2020,3,8,16,10,35
03-06-2020,2,7,15,25,33
04-06-2020,2,18,5,14,31
05-06-2020,1,20,23,19,20
06-06-2020,1,7,11,10,16
07-06-2020,3,4,7,20,19
08-06-2020,8,24,7,8,15
09-06-2020,2,6,16,14,13
10-06-2020,2,9,14,14,25
11-06-2020,3,17,13,9,25
12-06-2020,7,24,6,9,22
13-06-2020,3,8,7,11,25
14-06-2020,2,13,4,9,27
15-06-2020,3,4,8,2,6
16-06-2020,2,14,11,6,10
17-06-2020,4,12,15,14,28
18-06-2020,10,16,5,9,16
19-06-2020,4,7,4,8,23
20-06-2020,2,9,11,6,23
21-06-2020,0,7,3,0,38
22-06-2020,2,9,1,8,15
23-06-2020,5,16,7,6,11
24-06-2020,13,9,4,16,18
25-06-2020,12,12,16,4,26
26-06-2020,3,25,24,3,14
27-06-2020,3,7,12,3,23
28-06-2020,10,26,18,4,16
29-06-2020,2,12,11,5,5
30-06-2020,4,5,9,94,56
01-07-2020,10,18,6,17,21
02-07-2020,8,16,16,15,14
03-07-2020,2,29,22,7,57
04-07-2020,7,7,12,2,26
05-07-2020,9,6,18,7,13
06-07-2020,1,7,15,7,11
07-07-2020,9,10,16,14,17
08-07-2020,15,23,16,11,23
09-07-2020,11,8,13,9,29
10-07-2020,25,14,19,8,21
11-07-2020,3,11,18,5,21
12-07-2020,11,22,10,5,21
13-07-2020,13,18,15,20,26
14-07-2020,14,29,15,7,30
15-07-2020,18,24,11,6,25
16-07-2020,14,25,15,2,22
17-07-2020,29,30,23,13,23
18-07-2020,21,29,10,16,19
19-07-2020,14,17,9,5,11
20-07-2020,26,37,11,10,18
21-07-2020,25,21,26,9,29
22-07-2020,21,32,24,4,34
23-07-2020,5,44,27,9,30
24-07-2020,25,33,19,25,29
25-07-2020,27,18,18,11,21
26-07-2020,23,14,24,14,56
27-07-2020,8,22,17,6,19
28-07-2020,18,37,27,7,31
29-07-2020,40,44,43,16,28
30-07-2020,16,31,33,6,32
31-07-2020,33,15,18,8,26
01-08-2020,44,19,21,5,26
02-08-2020,44,19,19,3,10
03-08-2020,79,25,9,4,22
04-08-2020,22,16,23,8,28
05-08-2020,33,45,67,9,31
06-08-2020,16,31,21,17,46
07-08-2020,60,35,45,8,40
08-08-2020,25,15,23,2,31
09-08-2020,14,14,20,8,65
10-08-2020,10,21,11,6,18
11-08-2020,15,27,28,6,17
12-08-2020,39,41,53,5,26
13-08-2020,38,33,33,12,19
14-08-2020,19,11,24,8,30
15-08-2020,29,16,19,8,14
16-08-2020,18,23,7,8,34
17-08-2020,14,12,20,3,21
18-08-2020,15,25,29,5,21
19-08-2020,25,23,42,5,82
20-08-2020,29,44,34,14,35
21-08-2020,24,20,23,7,41
22-08-2020,21,19,18,14,30
23-08-2020,20,32,14,7,28
24-08-2020,11,25,14,5,31
25-08-2020,36,24,25,10,57
26-08-2020,28,53,19,10,48
27-08-2020,36,44,19,13,38
28-08-2020,22,106,32,11,42
29-08-2020,19,22,25,9,24
30-08-2020,5,23,8,11,26
31-08-2020,23,27,16,6,29
01-09-2020,14,59,24,3,24
02-09-2020,50,69,30,14,29
03-09-2020,45,61,32,20,44
04-09-2020,31,23,19,2,29
05-09-2020,21,35,17,11,17
06-09-2020,21,14,14,19,53
07-09-2020,8,14,6,8,24
08-09-2020,24,47,16,6,18
09-09-2020,13,46,14,28,17
10-09-2020,38,44,19,6,45
11-09-2020,20,24,13,11,34
12-09-2020,24,13,16,10,15
13-09-2020,12,20,4,7,17
14-09-2020,22,35,13,2,22
15-09-2020,25,31,20,12,55
16-09-2020,34,43,33,9,31
17-09-2020,11,41,6,14,61
18-09-2020,15,19,41,10,64
19-09-2020,23,17,5,7,21
20-09-2020,8,11,13,5,28
21-09-2020,16,15,30,5,18
22-09-2020,10,32,18,4,35
23-09-2020,26,35,27,15,71
24-09-2020,18,29,13,14,33
25-09-2020,10,24,6,4,34
26-09-2020,13,11,26,5,27
27-09-2020,12,17,4,2,29
28-09-2020,35,41,25,8,42
29-09-2020,10,22,25,9,52
30-09-2020,44,32,30,29,49
01-10-2020,20,27,19,28,21
02-10-2020,40,29,17,14,26
03-10-2020,11,12,13,8,11
04-10-2020,13,12,17,17,12
05-10-2020,45,32,22,15,24
06-10-2020,22,40,19,10,24
07-10-2020,28,27,47,29,45
08-10-2020,29,45,17,35,25
09-10-2020,16,34,46,23,62
10-10-2020,15,16,40,13,37
11-10-2020,13,35,19,17,15
12-10-2020,25,39,62,14,28
13-10-2020,19,39,30,18,17
14-10-2020,51,46,37,21,30
15-10-2020,18,47,35,18,29
16-10-2020,30,34,30,16,32
17-10-2020,13,27,14,12,26
18-10-2020,10,38,10,15,14
19-10-2020,18,20,26,7,26
20-10-2020,27,58,48,16,23
21-10-2020,20,49,35,26,21
22-10-2020,32,73,43,12,41
23-10-2020,29,47,55,26,43
24-10-2020,25,24,22,13,23
25-10-2020,18,69,20,15,20
26-10-2020,20,40,16,15,40
27-10-2020,30,69,58,24,41
28-10-2020,29,89,54,25,39
29-10-2020,32,102,41,11,34
30-10-2020,34,69,29,19,24
31-10-2020,15,31,39,20,19
01-11-2020,35,63,33,12,46
02-11-2020,28,56,56,16,29
03-11-2020,27,82,68,41,32
04-11-2020,29,100,56,14,23
05-11-2020,18,70,51,12,39
06-11-2020,18,56,49,16,25
07-11-2020,33,60,29,29,23
08-11-2020,20,57,37,9,17
09-11-2020,32,83,43,31,25
10-11-2020,34,88,53,9,29
11-11-2020,28,143,69,18,30
12-11-2020,25,125,85,17,41
13-11-2020,37,103,44,8,23
14-11-2020,25,48,49,9,20
15-11-2020,20,71,59,10,21
16-11-2020,23,103,43,22,38
17-11-2020,29,131,93,21,36
18-11-2020,38,140,69,21,41
19-11-2020,35,99,87,34,45
20-11-2020,38,89,66,18,46
21-11-2020,24,38,43,22,35
22-11-2020,29,64,41,9,31
23-11-2020,61,149,113,11,45
24-11-2020,61,114,61,21,36
25-11-2020,57,163,75,29,33
26-11-2020,33,54,35,28,45
27-11-2020,45,86,56,26,23
28-11-2020,50,71,53,15,37
29-11-2020,38,63,31,26,30
30-11-2020,61,115,61,54,49
01-12-2020,71,152,52,65,55
02-12-2020,68,300,103,153,36
03-12-2020,63,188,71,167,50
04-12-2020,47,158,59,31,55
05-12-2020,54,89,69,30,42
06-12-2020,36,103,48,21,34
07-12-2020,80,154,60,37,60
08-12-2020,85,162,84,41,54
09-12-2020,79,188,84,58,69
10-12-2020,35,213,65,79,72
11-12-2020,60,146,81,94,73
12-12-2020,64,102,50,126,68
13-12-2020,45,119,40,30,70
14-12-2020,48,176,60,57,72
15-12-2020,57,174,57,31,81
16-12-2020,81,160,63,162,90
17-12-2020,66,226,78,113,118
18-12-2020,47,175,50,125,101
19-12-2020,52,103,68,117,80
20-12-2020,26,99,43,102,91
21-12-2020,60,153,89,72,144
22-12-2020,67,197,58,137,92
23-12-2020,59,127,71,53,114
24-12-2020,62,81,64,58,123
25-12-2020,37,76,46,24,52
26-12-2020,29,68,62,19,102
27-12-2020,38,42,39,39,68
28-12-2020,67,131,87,77,157
29-12-2020,106,244,101,108,116
30-12-2020,119,237,92,74,170
31-12-2020,121,169,124,65,176
01-01-2021,76,87,86,92,120
02-01-2021,76,101,95,60,133
03-01-2021,68,66,47,39,111
04-01-2021,127,193,81,98,189
05-01-2021,114,205,131,118,146
06-01-2021,128,203,93,60,224
07-01-2021,128,167,103,112,182
08-01-2021,115,129,107,74,238
09-01-2021,100,120,108,83,192
10-01-2021,74,69,70,59,126
11-01-2021,87,156,87,72,200
12-01-2021,108,203,92,106,137
13-01-2021,125,127,119,72,178
14-01-2021,126,125,111,130,190
15-01-2021,137,85,64,87,167
16-01-2021,76,56,96,46,123
17-01-2021,77,63,47,26,132
18-01-2021,109,105,68,57,176
19-01-2021,75,129,87,82,142
20-01-2021,107,99,112,127,157
21-01-2021,111,93,67,70,172
22-01-2021,104,59,93,60,152
23-01-2021,90,88,52,42,109
24-01-2021,59,31,53,32,88
25-01-2021,87,100,59,95,122
26-01-2021,97,77,77,59,107
27-01-2021,101,76,62,46,146
28-01-2021,69,52,33,40,134
29-01-2021,76,39,63,78,139
30-01-2021,45,29,37,60,103
31-01-2021,28,10,13,9,64
01-02-2021,37,37,36,23,109
02-02-2021,69,49,44,67,89
03-02-2021,72,40,29,62,105
04-02-2021,125,47,41,52,124
05-02-2021,56,28,27,47,96
06-02-2021,34,28,38,39,73
07-02-2021,37,11,25,19,59
08-02-2021,37,26,37,36,80
09-02-2021,89,32,33,30,76
10-02-2021,82,27,50,41,103
11-02-2021,40,32,41,33,83
12-02-2021,28,19,31,70,69
13-02-2021,27,14,12,9,65
14-02-2021,12,13,13,6,50
15-02-2021,35,23,29,31,76
16-02-2021,44,12,24,19,66
17-02-2021,44,28,10,30,91
18-02-2021,32,23,10,12,77
19-02-2021,28,19,10,17,80
20-02-2021,24,16,15,24,60
21-02-2021,20,12,10,17,55
22-02-2021,31,26,26,32,77
23-02-2021,47,29,23,24,62
24-02-2021,33,25,23,22,70
25-02-2021,19,32,13,27,73
26-02-2021,20,24,16,15,58
27-02-2021,23,26,9,24,46
28-02-2021,5,9,4,5,42
01-03-2021,13,23,14,20,62
02-03-2021,16,28,17,17,55
03-03-2021,11,10,12,17,68
04-03-2021,11,28,8,19,61
05-03-2021,33,14,16,12,65
06-03-2021,17,10,9,5,45
07-03-2021,14,7,7,12,51
08-03-2021,15,21,17,8,65
09-03-2021,14,33,14,8,57
10-03-2021,16,29,11,10,71
11-03-2021,18,40,5,13,54
12-03-2021,10,17,11,16,74
13-03-2021,7,13,6,11,38
14-03-2021,2,11,10,11,46
15-03-2021,8,21,13,19,59
16-03-2021,17,31,7,12,40
17-03-2021,24,21,11,8,64
18-03-2021,4,35,3,8,60
19-03-2021,18,22,9,13,59
20-03-2021,10,14,10,10,43
21-03-2021,10,24,8,2,41
22-03-2021,7,32,5,10,62
23-03-2021,13,45,9,13,45
