id,name,places,asr_sqm,asr_psf
A,A · Colaba / Fort,"Colaba, Cuffe Parade, Navy Nagar",592530,55047
B,B · Sandhurst Road,"Dongri, Masjid, Sandhurst Road",280000,26013
C,C · Marine Lines,"Marine Lines, Kalbadevi, Girgaon",515040,47848
D,D · Malabar Hill,"Malabar Hill, Walkeshwar, Grant Road",811340,75375
E,E · Byculla,"Byculla, Mazgaon, Agripada",210000,19509
F/S,F/S · Parel,"Parel, Sewri, Lower Parel east",332450,30885
F/N,F/N · Matunga,"Matunga, Sion, Wadala",210000,19509
G/S,G/S · Worli,"Worli, Prabhadevi, Lower Parel west",392270,36443
G/N,G/N · Dadar,"Dadar, Mahim, Dharavi edge",350000,32516
H/W,H/W · Bandra West,"Bandra West, Khar West",295500,27453
H/E,H/E · Bandra East,"Bandra East, BKC, Santacruz East",336810,31290
K/W,K/W · Andheri West,"Andheri West, Versova, Juhu",296690,27563
K/E,K/E · Andheri East,"Andheri East, Marol, Chakala",178800,16611
P/N,P/N · Goregaon,Goregaon East and West,173110,16082
P/S,P/S · Malad,"Malad East and West, Mindspace",145000,13471
R/S,R/S · Kandivali,Kandivali East and West,150000,13935
R/C,R/C · Borivali,Borivali East and West,147250,13680
R/N,R/N · Dahisar,Dahisar East and West,140010,13007
L,L · Kurla,"Kurla, Nehru Nagar, Saki Naka edge",125000,11613
M/E,M/E · M East,"Govandi, Mankhurd, Chembur east",144000,13378
M/W,M/W · Chembur,"Chembur West, Tilak Nagar",144000,13378
N,N · Ghatkopar,"Ghatkopar, Vikhroli edge",155000,14400
S,S · Bhandup,"Bhandup, Kanjurmarg, Nahur",125000,11613
T,T · Mulund,Mulund East and West,142000,13192
