fips,name,zhvi,ppsf,median_sale,fmr_2br,acs_median_rent,acs_median_value
51001,Accomack County,246385,193.41,311750,1054,977,204300
51003,Albemarle County,561513,268.78,565000,1824,1692,495400
51510,Alexandria City,682629,467.72,715000,2246,2089,735100
51005,Alleghany County,188769,109.09,165500,914,765,125800
51007,Amelia County,334906,203.11,365000,1655,1164,282400
51009,Amherst County,266770,191.67,290000,1187,871,212400
51011,Appomattox County,294905,214.28,314000,1187,855,207600
51013,Arlington County,816055,495.89,820000,2246,2322,895000
51015,Augusta County,372170,209.57,360000,1261,1136,306100
51017,Bath County,229842,119.61,204500,977,736,206700
51019,Bedford County,355720,192.8,402950,1187,952,297400
51021,Bland County,192578,196.92,160500,914,644,152100
51023,Botetourt County,319401,188.93,377500,1254,1035,289200
51520,Bristol City,180132,148.95,210000,1044,801,184100
51025,Brunswick County,152142,213.51,316225,914,834,142700
51027,Buchanan County,77770,69.28,127075,914,743,94900
51029,Buckingham County,251549,230.74,349900,959,927,173400
51530,Buena Vista City,189828,131.38,182550,1005,1112,156200
51031,Campbell County,276073,182.46,292442,1187,891,211600
51033,Caroline County,364227,240.26,441900,1246,1293,307700
51035,Carroll County,189843,164.18,257500,914,738,156500
51036,Charles City County,281812,180.99,340502,1655,1099,241400
51037,Charlotte County,203203,164.04,187000,914,732,144100
51540,Charlottesville City,495262,319.88,524950,1824,1540,486700
51550,Chesapeake City,429571,219.47,419950,1713,1586,378400
51041,Chesterfield County,416117,216.48,430000,1655,1629,366000
51043,Clarke County,574223,230.49,550000,2246,1371,550100
51570,Colonial Heights City,284362,207.26,285000,1655,1234,246600
51580,Covington City,113508,94.13,144750,914,794,83500
51045,Craig County,241988,115.23,295000,1254,713,189000
51047,Culpeper County,496737,217.43,577904,1423,1423,409200
51049,Cumberland County,292105,190.41,327250,997,877,239300
51590,Danville City,135583,107.7,195000,914,836,119100
51051,Dickenson County,118439,102.93,225500,914,738,102700
51053,Dinwiddie County,303252,207.92,309000,1655,1224,257800
51595,Emporia City,157745,49.95,160000,1001,1037,148500
51057,Essex County,300728,235.51,299950,1113,972,238100
51600,Fairfax City,785295,339.32,810000,2246,2245,722600
51059,Fairfax County,768424,362.54,815000,2246,2276,732800
51610,Falls Church City,1173901,477.31,1200000,2246,2190,1055600
51061,Fauquier County,656541,248.7,681250,2246,1613,573700
51063,Floyd County,282424,187.41,430000,1094,878,225400
51065,Fluvanna County,378704,204.15,384450,1824,1204,314100
51620,Franklin City,237954,156.03,240000,1051,988,256600
51067,Franklin County,369641,172.08,439900,944,829,240400
51069,Frederick County,432111,214.31,415000,1573,1507,386000
51630,Fredericksburg City,474797,246.79,454900,2246,1619,483700
51640,Galax City,180798,147.96,147000,914,743,141300
51071,Giles County,211099,150.85,258500,984,789,151100
51073,Gloucester County,380109,223.85,374000,1713,1096,331000
51075,Goochland County,588477,270.75,697000,1655,1614,500600
