fips,name,ppsf,vintage
51001,Accomack County,193.41,2026-05-31
51003,Albemarle County,268.78,2026-05-31
51510,Alexandria City,467.72,2026-05-31
51005,Alleghany County,109.09,2026-05-31
51007,Amelia County,203.11,2026-05-31
51009,Amherst County,191.67,2026-05-31
51011,Appomattox County,214.28,2026-05-31
51013,Arlington County,495.89,2026-05-31
51015,Augusta County,209.57,2026-05-31
51017,Bath County,119.61,2026-05-31
51019,Bedford County,192.8,2026-05-31
51021,Bland County,196.92,2026-05-31
51023,Botetourt County,188.93,2026-05-31
51520,Bristol City,148.95,2026-05-31
51025,Brunswick County,213.51,2026-05-31
51027,Buchanan County,69.28,2026-05-31
51029,Buckingham County,230.74,2026-05-31
51530,Buena Vista City,131.38,2026-05-31
51031,Campbell County,182.46,2026-05-31
51033,Caroline County,240.26,2026-05-31
51035,Carroll County,164.18,2026-05-31
51036,Charles City County,180.99,2026-05-31
51037,Charlotte County,164.04,2026-05-31
51540,Charlottesville City,319.88,2026-05-31
51550,Chesapeake City,219.47,2026-05-31
51041,Chesterfield County,216.48,2026-05-31
51043,Clarke County,230.49,2026-05-31
51570,Colonial Heights City,207.26,2026-05-31
51580,Covington City,94.13,2026-05-31
51045,Craig County,115.23,2026-05-31
51047,Culpeper County,217.43,2026-05-31
51049,Cumberland County,190.41,2026-05-31
51590,Danville City,107.7,2026-05-31
51051,Dickenson County,102.93,2026-05-31
51053,Dinwiddie County,207.92,2026-05-31
51595,Emporia City,49.95,2026-05-31
51057,Essex County,235.51,2026-05-31
51600,Fairfax City,339.32,2026-05-31
51059,Fairfax County,362.54,2026-05-31
51610,Falls Church City,477.31,2026-05-31
51061,Fauquier County,248.7,2026-05-31
51063,Floyd County,187.41,2026-05-31
51065,Fluvanna County,204.15,2026-05-31
51620,Franklin City,156.03,2026-05-31
51067,Franklin County,172.08,2026-05-31
51069,Frederick County,214.31,2026-05-31
51630,Fredericksburg City,246.79,2026-05-31
51640,Galax City,147.96,2026-05-31
51071,Giles County,150.85,2026-05-31
51073,Gloucester County,223.85,2026-05-31
51075,Goochland County,270.75,2026-05-31
51077,Grayson County,199.58,2026-05-31
51079,Greene County,214.59,2026-05-31
51081,Greensville County,177.63,2026-05-31
51083,Halifax County,97.23,2026-05-31
51650,Hampton City,193.85,2026-05-31
51085,Hanover County,236.32,2026-05-31
51660,Harrisonburg City,212.83,2026-05-31
51087,Henrico County,249.48,2026-05-31
51089,Henry County,114.21,2026-05-31
51091,Highland County,136.72,2026-05-31
51670,Hopewell City,188.88,2026-05-31
51093,Isle of Wight County,223.36,2026-05-31
51095,James City County,230.89,2026-05-31
51099,King George County,228.44,2026-05-31
51101,King William County,243.27,2026-05-31
51097,King and Queen County,177.68,2026-05-31
51103,Lancaster County,200.19,2026-05-31
51105,Lee County,117.07,2026-05-31
51678,Lexington City,199.71,2026-05-31
51107,Loudoun County,296.05,2026-05-31
51109,Louisa County,245.94,2026-05-31
51111,Lunenburg County,161.33,2026-05-31
51680,Lynchburg City,164.1,2026-05-31
51113,Madison County,251.33,2026-05-31
51683,Manassas City,263.35,2026-05-31
51685,Manassas Park City,283.22,2026-05-31
51690,Martinsville City,100.86,2026-05-31
51115,Mathews County,240.48,2026-05-31
51117,Mecklenburg County,202.55,2026-05-31
51119,Middlesex County,263.95,2026-05-31
51121,Montgomery County,209.23,2026-05-31
51125,Nelson County,276.28,2026-05-31
51127,New Kent County,231.12,2026-05-31
51700,Newport News City,194.51,2026-05-31
51710,Norfolk City,209.53,2026-05-31
51131,Northampton County,275.47,2026-05-31
51133,Northumberland County,267.05,2026-05-31
51720,Norton City,122.55,2026-05-31
51135,Nottoway County,127.69,2026-05-31
51137,Orange County,215.62,2026-05-31
51139,Page County,219.55,2026-05-31
51141,Patrick County,130.95,2026-05-31
51730,Petersburg City,150.51,2026-05-31
51143,Pittsylvania County,146.38,2026-05-31
51735,Poquoson City,221.95,2026-05-31
51740,Portsmouth City,181.12,2026-05-31
51145,Powhatan County,248.55,2026-05-31
51147,Prince Edward County,200.0,2026-05-31
51149,Prince George County,216.18,2026-05-31
51153,Prince William County,251.4,2026-05-31
51155,Pulaski County,169.74,2026-05-31
51750,Radford City,167.62,2026-05-31
51157,Rappahannock County,341.97,2026-05-31
51760,Richmond City,272.36,2026-05-31
51159,Richmond County,194.15,2026-05-31
51770,Roanoke City,142.48,2026-05-31
51161,Roanoke County,153.06,2026-05-31
51163,Rockbridge County,202.03,2026-05-31
51165,Rockingham County,207.66,2026-05-31
51167,Russell County,130.94,2026-05-31
51775,Salem City,157.85,2026-05-31
51169,Scott County,150.27,2026-05-31
51171,Shenandoah County,201.21,2026-05-31
51173,Smyth County,135.87,2026-05-31
51175,Southampton County,148.4,2026-05-31
51177,Spotsylvania County,218.28,2026-05-31
51179,Stafford County,216.69,2026-05-31
51790,Staunton City,205.78,2026-05-31
51800,Suffolk City,203.31,2026-05-31
51181,Surry County,161.18,2026-05-31
51183,Sussex County,128.27,2026-05-31
51185,Tazewell County,109.5,2026-05-31
51810,Virginia Beach City,245.23,2026-05-31
51187,Warren County,230.0,2026-05-31
51191,Washington County,156.02,2026-05-31
51820,Waynesboro City,203.98,2026-05-31
51193,Westmoreland County,243.77,2026-05-31
51830,Williamsburg City,221.68,2026-05-31
51840,Winchester City,228.86,2026-05-31
51195,Wise County,101.5,2026-05-31
51197,Wythe County,151.41,2026-05-31
51199,York County,220.23,2026-05-31
