id,ward,places,population,area_km2,lat,lon,flood,heat,air,services,index,hotspots,slum_pct,zone
ME,M East · Govandi,"Govandi, Mankhurd, Shivaji Nagar, Trombay, Deonar",807720,32.5,19.055,72.915,0.9565,1.0000,1.0000,1.0000,1.0000,24,68,Eastern Suburbs
L,L · Kurla,"Kurla, Saki Naka, Chandivali, Mithi belt",902225,15.88,19.0726,72.8845,0.7826,0.9565,0.9130,0.9130,0.9565,28,48,Eastern Suburbs
HE,H East · Bandra East,"Bandra East, Khar East, Dharavi, Santacruz East",557239,18.53,19.06,72.87,0.5870,0.9130,0.7826,0.9565,0.9130,22,62,Western Suburbs
FN,F North · Sion,"Matunga, Sion, Wadala, Antop Hill",529034,12.98,19.04,72.86,1.0000,0.6739,0.7174,0.8261,0.8696,54,32,Island City
KE,K East · Andheri East,"Andheri East, Jogeshwari East, Vile Parle East, Sahar",823885,24.8,19.1136,72.8697,0.6739,0.8696,0.9565,0.7826,0.8261,20,34,Western Suburbs
PN,P North · Malad,"Malad, Malvani, Madh",941366,19.13,19.186,72.848,0.4783,0.8043,0.5652,0.8696,0.7826,17,38,Western Suburbs
N,N · Ghatkopar,"Ghatkopar, Vikhroli, Pant Nagar",619556,25.6,19.086,72.908,0.5217,0.8043,0.6304,0.6522,0.7391,15,28,Eastern Suburbs
GN,G North · Dadar,"Dadar, Mahim, Prabhadevi North",599039,9.07,19.021,72.843,0.9130,0.4348,0.4348,0.5217,0.6957,18,26,Island City
E,E · Byculla,"Byculla, Mazgaon, Reay Road",393327,7.4,18.979,72.8335,0.3696,0.6087,0.8261,0.6957,0.6522,9,28,Island City
C,C · Marine Lines,"Marine Lines, Kalbadevi, Bhuleshwar",166161,1.78,18.9465,72.8238,0.7391,0.3261,0.3261,0.7391,0.6087,10,18,Island City
RS,R South · Kandivali,"Kandivali, Poisar, Thakur Village",691229,17.8,19.208,72.842,0.6739,0.5435,0.5000,0.4565,0.5652,14,24,Western Suburbs
S,S · Bhandup,"Bhandup, Kanjurmarg, Nahur",743783,35.0,19.148,72.937,0.2609,0.6739,0.7174,0.5870,0.5217,11,26,Eastern Suburbs
FS,F South · Parel,"Parel, Lalbaug, Cotton Green",360972,14.0,19.003,72.842,0.4348,0.5435,0.6304,0.4565,0.4783,11,24,Island City
MW,M West · Chembur,"Chembur West, Mahul, Shell Colony",414050,19.37,19.062,72.899,0.1739,0.7391,0.8696,0.3913,0.4348,10,30,Eastern Suburbs
RN,R North · Dahisar,"Dahisar, Nancy Colony",431368,18.0,19.25,72.859,0.5870,0.3261,0.3261,0.3043,0.3913,12,22,Western Suburbs
GS,G South · Worli,"Worli, Lower Parel, Prabhadevi",377991,10.0,19.0176,72.8197,0.8696,0.2174,0.2391,0.2174,0.3478,16,16,Island City
B,B · Sandhurst Road,"Dongri, Masjid Bunder, Sandhurst Road",127290,2.47,18.961,72.8365,0.2174,0.4348,0.5000,0.5870,0.3043,6,22,Island City
PS,P South · Goregaon,"Goregaon, Aarey edge, Bangur Nagar",463067,24.44,19.1663,72.8526,0.3696,0.4348,0.3913,0.3478,0.2609,13,22,Western Suburbs
KW,K West · Andheri West,"Andheri West, Jogeshwari West, Oshiwara",748688,23.39,19.136,72.829,0.3043,0.2609,0.2391,0.2609,0.2174,14,20,Western Suburbs
A,A · Colaba,"Colaba, Cuffe Parade, Fort, Nariman Point",185014,11.41,18.9067,72.8147,0.8261,0.1304,0.1739,0.0435,0.1739,12,8,Island City
RC,R Central · Borivali,"Borivali East, Sanjay Gandhi National Park edge",562162,50.0,19.23,72.856,0.1304,0.0652,0.0870,0.1739,0.1304,8,18,Western Suburbs
HW,H West · Bandra West,"Bandra West, Khar West, Santacruz West",307581,11.55,19.06,72.83,0.0870,0.0652,0.0435,0.0870,0.0870,8,10,Western Suburbs
T,T · Mulund,"Mulund, Mulund Colony",341463,45.41,19.1726,72.9566,0.0000,0.1739,0.1304,0.1304,0.0435,5,14,Eastern Suburbs
D,D · Grant Road,"Malabar Hill, Walkeshwar, Grant Road, Tardeo",346866,6.63,18.955,72.805,0.0435,0.0000,0.0000,0.0000,0.0000,4,10,Island City
